Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;IN;1974;p26p27;12825.0408109;18962.0022628;;;18771.6933594;0.004740417;0.004740417;12696.3251953
;IN;1974;p27p28;13115.1446498;19390.9248474;;;19191.6015625;0.0048476458;0.0048476458;12980.3310547
;IN;1974;p28p29;13437.5001663;19867.5319883;;;19676.5878906;0.0049667954;0.0049667954;13308.3544922
;IN;1974;p29p30;13728.8940724;20298.3619551;;;20134.7441406;0.005074501;0.005074501;13618.2304688
;IN;1974;p30p31;13935.6273251;20604.0199614;;;20504.9394531;0.0051509142;0.0051509142;13868.6142578
;IN;1974;p31p32;14124.4608968;20883.2130389;;;20741.0;0.0052207112;0.0052207112;14028.2744141
;IN;1974;p32p33;14428.4329571;21332.6399827;;;21133.421875;0.005333066;0.005333066;14293.6904297
;IN;1974;p33p34;14753.6911245;21813.5387337;;;21607.3066406;0.0054532886;0.0054532886;14614.2050781
;IN;1974;p34p35;15066.5323962;22276.0789305;;;22064.1445312;0.0055689216;0.0055689216;14923.1894531
;IN;1974;p35p36;15399.5309662;22768.421975;;;22553.2246094;0.0056920052;0.0056920052;15253.9804688
;IN;1974;p36p37;15736.3997376;23266.4871663;;;23052.3691406;0.0058165193;0.0058165193;15591.5791016
;IN;1974;p37p38;16063.9155224;23750.7238362;;;23540.6835938;0.0059375763;0.0059375763;15921.8544922
;IN;1974;p38p39;16396.7528341;24242.8284579;;;24041.8085938;0.0060606003;0.0060606003;16260.7919922
;IN;1974;p39p40;16701.6924447;24693.6859384;;;24507.3046875;0.0061733127;0.0061733127;16575.6328125
;IN;1974;p40p41;17005.5032466;25142.8744594;;;24972.3769531;0.0062856078;0.0062856078;16890.1855469
;IN;1974;p41p42;17281.7388643;25551.2926847;;;25394.4765625;0.0063877106;0.0063877106;17175.6757812
;IN;1974;p42p43;17524.5939958;25910.3573941;;;25774.2519531;0.0064774752;0.0064774752;17432.5390625
;IN;1974;p43p44;17764.8689931;26265.6073391;;;26149.4277344;0.0065662861;0.0065662861;17686.2910156
;IN;1974;p44p45;17982.0840409;26586.7628262;;;26474.453125;0.0066465735;0.0066465735;17906.1230469
;IN;1974;p45p46;18194.783854;26901.2424755;;;26791.9550781;0.0067251921;0.0067251921;18120.8671875
;IN;1974;p46p47;18402.9684321;27209.0462868;;;27101.6367188;0.0068021417;0.0068021417;18330.3222656
;IN;1974;p47p48;18570.8384134;27457.2444027;;;27351.515625;0.0068641901;0.0068641901;18499.328125
;IN;1974;p48p49;18769.9925219;27751.6965383;;;27645.4824219;0.0069378018;0.0069378018;18698.1542969
;IN;1974;p49p50;18952.5370165;28021.5911273;;;27913.8652344;0.0070052743;0.0070052743;18879.6757812
;IN;1974;p50p51;19155.4000679;28321.5269869;;;28208.1191406;0.0070802569;0.0070802569;19078.6972656
;IN;1974;p51p52;19383.4194277;28658.6568004;;;28539.3183594;0.0071645379;0.0071645379;19302.703125
;IN;1974;p52p53;19610.3099788;28994.1176545;;;28868.640625;0.0072484016;0.0072484016;19525.4433594
;IN;1974;p53p54;19892.8346736;29411.8343683;;;29279.0410156;0.007352829;0.007352829;19803.0195312
;IN;1974;p54p55;20087.1510305;29699.1338204;;;29558.9902344;0.0074246526;0.0074246526;19992.3632812
;IN;1974;p55p56;20323.8783432;30049.1384642;;;29901.1308594;0.0075121522;0.0075121522;20223.7734375
;IN;1974;p56p57;20628.3341787;30499.2806763;;;30311.1015625;0.0076246858;0.0076246858;20501.0585938
;IN;1974;p57p58;20966.3317588;30999.014827;;;30784.0195312;0.0077496171;0.0077496171;20820.9179688
;IN;1974;p58p59;21327.2280298;31532.6050128;;;31300.765625;0.0078830123;0.0078830123;21170.421875
;IN;1974;p59p60;21734.7279749;32135.0993825;;;31886.9003906;0.0080336332;0.0080336332;21566.8574219
;IN;1974;p60p61;22170.1256209;32778.8408935;;;32515.2539062;0.0081945658;0.0081945658;21991.8476562
;IN;1974;p61p62;22630.8408338;33460.0147812;;;33180.109375;0.0083648562;0.0083648562;22441.5273438
;IN;1974;p62p63;23114.6159961;34175.2831267;;;33880.1289062;0.0085436702;0.0085436702;22914.9863281
;IN;1974;p63p64;23587.2643297;34874.1003003;;;34564.2539062;0.0087183714;0.0087183714;23377.6972656
;IN;1974;p64p65;24078.134861;35599.8592483;;;35276.4101562;0.0088998079;0.0088998079;23859.3671875
;IN;1974;p65p66;24627.2196702;36411.6888204;;;36075.3945312;0.0091027617;0.0091027617;24399.765625
;IN;1974;p66p67;25161.146191;37201.1066511;;;36853.1171875;0.0093001127;0.0093001127;24925.78125
;IN;1974;p67p68;25734.0972416;38048.222795;;;37690.0117188;0.009511888;0.009511888;25491.8183594
;IN;1974;p68p69;26327.0443322;38924.9033639;;;38557.6171875;0.0097310543;0.0097310543;26078.6269531
;IN;1974;p69p70;26922.8940737;39805.8755428;;;39431.515625;0.0099512935;0.0099512935;26669.6933594
;IN;1974;p70p71;27547.4478082;40729.2869769;;;40348.625;0.0101821423;0.0101821423;27289.984375
;IN;1974;p71p72;28138.9435733;41603.8217407;;;41219.3164062;0.0104007721;0.0104007721;27878.8808594
;IN;1974;p72p73;28826.8718541;42620.933328;;;42232.59375;0.0106550455;0.0106550455;28564.2148438
;IN;1974;p73p74;29609.2975499;43777.7606655;;;43385.109375;0.0109442472;0.0109442472;29343.7265625
;IN;1974;p74p75;30239.3340696;44709.2784742;;;44314.875;0.0111771226;0.0111771226;29972.5761719
;IN;1974;p75p76;30932.4226188;45734.0195905;;;45336.7734375;0.0114333034;0.0114333034;30663.7441406
;IN;1974;p76p77;31672.9211339;46828.8570048;;;46428.6054688;0.0117070079;0.0117070079;31402.2089844
;IN;1974;p77p78;32428.0941623;47945.3908921;;;47540.2851562;0.0119861364;0.0119861364;32154.0996094
;IN;1974;p78p79;33124.0853624;48974.4236186;;;48562.3554688;0.0122433901;0.0122433901;32845.3789062
;IN;1974;p79p80;34216.2077913;50589.1419086;;;50160.734375;0.0126470625;0.0126470625;33926.453125
;IN;1974;p80p81;34876.5608878;51565.4832003;;;51116.2382812;0.0128911436;0.0128911436;34572.7109375
;IN;1974;p81p82;35753.8065155;52862.5031335;;;52374.453125;0.0132153928;0.0132153928;35423.7109375
;IN;1974;p82p83;37064.9984637;54801.1187727;;;54250.1054688;0.0137000382;0.0137000382;36692.3164062
;IN;1974;p83p84;38008.3600302;56195.8920465;;;55570.078125;0.0140487254;0.0140487254;37585.0859375
;IN;1974;p84p85;39221.0231036;57988.8313659;;;57268.21875;0.0144969523;0.0144969523;38733.6328125
;IN;1974;p85p86;41056.1435526;60702.0826233;;;59858.4921875;0.0151752532;0.0151752532;40485.578125
;IN;1974;p86p87;42602.7727465;62988.795524;;;62011.2851562;0.0157469213;0.0157469213;41941.6289062
;IN;1974;p87p88;44459.5018194;65733.9954341;;;64601.7617188;0.0164332092;0.0164332092;43693.7109375
;IN;1974;p88p89;46537.6386582;68806.5498238;;;67503.6328125;0.0172013342;0.0172013342;45656.4023438
;IN;1974;p89p90;49258.4708002;72829.3382104;;;71324.6640625;0.0182070136;0.0182070136;48240.7734375
;IN;1974;p90p91;52208.7736274;77191.4022157;;;75492.03125;0.0192975104;0.0192975104;51059.3945312
;IN;1974;p91p92;55421.7663678;81941.8569325;;;80087.2578125;0.0204851031;0.0204851031;54167.3984375
;IN;1974;p92p93;58653.0619352;86719.3726351;;;84595.5703125;0.021679461;0.021679461;57216.6171875
;IN;1974;p93p94;62158.6580196;91902.4454896;;;89525.8125;0.0229752064;0.0229752064;60551.2109375
;IN;1974;p94p95;66418.8627279;98201.2177518;;;95370.40625;0.0245498717;0.0245498717;64504.2304688
;IN;1974;p95p96;71848.9164079;106229.628085;;;102699.867188;0.0265569389;0.0265569389;69461.546875
;IN;1974;p96p97;78805.3210396;116514.769654;;;111498.953125;0.029128179;0.029128179;75412.84375
;IN;1974;p97p98;89652.8905599;132553.052948;;;124362.890625;0.0331376791;0.0331376791;84113.4375
;IN;1974;p98p99;111649.219954;165074.933689;;;147031.515625;0.041268006;0.041268006;99445.46875
;IN;1974;p1p100;27301.9604186;40366.3304369;8.53623485565;8.53623390198;4728.82177734;0.9990490675;0.9990490675;3198.36108398
;IN;1974;p2p100;27545.1770269;40725.9295948;6.29012107849;6.29012107849;6474.5859375;0.9977676868;0.9977676868;4379.1171875
;IN;1974;p3p100;27781.8809295;41075.8996264;5.35377836227;5.35377836227;7672.31982422;0.9960730076;0.9960730076;5189.20996094
;IN;1974;p4p100;28015.2029576;41420.8695092;4.73583364487;4.73583364487;8746.26757812;0.9940833449;0.9940833449;5915.58007812
;IN;1974;p5p100;28245.4029658;41761.2234418;4.26158332825;4.26158332825;9799.46191406;0.9918115735;0.9918115735;6627.91259766
;IN;1974;p6p100;28473.4140551;42098.3410272;3.9619550705;3.9619550705;10625.6484375;0.9892935753;0.9892935753;7186.70800781
;IN;1974;p7p100;28700.7556574;42434.4687668;3.77962040901;3.77962040901;11227.1777344;0.9865840077;0.9865840077;7593.55517578
;IN;1974;p8p100;28928.6977617;42771.484357;3.60711574554;3.60711574554;11857.5302734;0.9837267995;0.9837267995;8019.89746094
;IN;1974;p9p100;29156.9642291;43108.9795224;3.46886777878;3.46886754036;12427.3925781;0.9807119966;0.9807119966;8405.32617188
;IN;1974;p10p100;29386.3040765;43448.0616954;3.37041354179;3.37041354179;12891.0175781;0.9775641561;0.9775641561;8718.90136719
;IN;1974;p11p100;29617.969265;43790.5819176;3.32579231262;3.3257920742;13166.9628906;0.9743232727;0.9743232727;8905.53808594
;IN;1974;p12p100;29852.8581869;44137.8684746;3.27660226822;3.2766020298;13470.6220703;0.9710159898;0.9710159898;9110.91894531
;IN;1974;p13p100;30090.0699699;44488.5894144;3.18830227852;3.1883020401;13953.6933594;0.9676097631;0.9676097631;9437.64648438
;IN;1974;p14p100;30328.1143123;44840.541305;3.06298851967;3.06298851967;14639.4746094;0.9640546441;0.9640546441;9901.47851562
;IN;1974;p15p100;30565.6337766;45191.7171558;2.92141675949;2.92141675949;15469.1103516;0.9603070617;0.9603070617;10462.6064453
;IN;1974;p16p100;30802.6633697;45542.1687254;2.84111738205;2.84111762047;16029.6669922;0.9563686848;0.9563686848;10841.7421875
;IN;1974;p17p100;31042.3483815;45896.5463685;2.80756688118;2.80756664276;16347.4462891;0.9523365498;0.9523365498;11056.6728516
;IN;1974;p18p100;31285.2343383;46255.6566537;2.77809476852;2.77809476852;16650.1367188;0.9482242465;0.9482242465;11261.3994141
;IN;1974;p19p100;31531.589107;46619.8956257;2.75198483467;2.75198483467;16940.4628906;0.9440362453;0.9440362453;11457.7626953
;IN;1974;p20p100;31781.7544196;46989.7685402;2.7363858223;2.7363858223;17172.2011719;0.9397788048;0.9397788048;11614.5
;IN;1974;p21p100;32036.5526738;47366.4913238;2.72520303726;2.72520303726;17380.9042969;0.9354717135;0.9354717135;11755.6572266
;IN;1974;p22p100;32295.9181048;47749.966742;2.70980834961;2.70980834961;17621.1601562;0.9311079383;0.9311079383;11918.15625
;IN;1974;p23p100;32559.8841501;48140.2442329;2.69585180283;2.69585156441;17857.15625;0.9266833663;0.9266833663;12077.7724609
;IN;1974;p24p100;32828.7321386;48537.7397451;2.68503522873;2.68503499031;18077.1347656;0.922200799;0.922200799;12226.5556641
;IN;1974;p25p100;33102.7347519;48942.8564423;2.67091703415;2.67091727257;18324.3632812;0.9176623821;0.9176623821;12393.7714844
;IN;1974;p26p100;33380.9329278;49354.1763373;2.62918066978;2.6291809082;18771.6933594;0.9130361676;0.9130361676;12696.3251953
;IN;1974;p27p100;33662.520491;49770.507489;2.59334826469;2.59334826469;19191.6015625;0.9082957506;0.9082957506;12980.3310547
;IN;1974;p28p100;33947.900711;50192.4461368;2.55087137222;2.55087137222;19676.5878906;0.9034481049;0.9034481049;13308.3544922
;IN;1974;p29p100;34236.7795919;50619.5576036;2.5140402317;2.5140402317;20134.7441406;0.8984813094;0.8984813094;13618.2304688
;IN;1974;p30p100;34529.7493851;51052.7175415;2.48977637291;2.48977661133;20504.9394531;0.8934068084;0.8934068084;13868.6142578
;IN;1974;p31p100;34828.2149222;51494.0030137;2.48271560669;2.48271560669;20741.0;0.8882558942;0.8882558942;14028.2744141
;IN;1974;p32p100;35132.6818931;51944.1616898;2.45791530609;2.45791530609;21133.421875;0.883035183;0.883035183;14293.6904297
;IN;1974;p33p100;35441.700534;52401.0500734;2.42515420914;2.42515420914;21607.3066406;0.877702117;0.877702117;14614.2050781
;IN;1974;p34p100;35755.155222;52864.497215;2.39594602585;2.39594602585;22064.1445312;0.8722488284;0.8722488284;14923.1894531
;IN;1974;p35p100;36073.441727;53335.0882655;2.36485433578;2.36485409737;22553.2246094;0.8666799068;0.8666799068;15253.9804688
;IN;1974;p36p100;36396.4715826;53812.6924263;2.33436727524;2.33436703682;23052.3691406;0.8609879017;0.8609879017;15591.5791016
;IN;1974;p37p100;36724.409231;54297.5528272;2.30654096603;2.30654096603;23540.6835938;0.8551713824;0.8551713824;15921.8544922
;IN;1974;p38p100;37057.6430005;54790.2436174;2.27895689011;2.27895689011;24041.8085938;0.8492338061;0.8492338061;16260.7919922
;IN;1974;p39p100;37396.3461179;55291.0209151;2.25610375404;2.25610375404;24507.3046875;0.8431732059;0.8431732059;16575.6328125
;IN;1974;p40p100;37741.2570125;55800.976498;2.23450803757;2.23450803757;24972.3769531;0.8369998932;0.8369998932;16890.1855469
;IN;1974;p41p100;38092.7104661;56320.6053462;2.21782898903;2.21782898903;25394.4765625;0.8307142854;0.8307142854;17175.6757812
;IN;1974;p42p100;38451.5203214;56851.1107369;2.205732584;2.20573282242;25774.2519531;0.8243265748;0.8243265748;17432.5390625
;IN;1974;p43p100;38818.6593797;57393.930971;2.19484448433;2.19484472275;26149.4277344;0.8178490996;0.8178490996;17686.2910156
;IN;1974;p44p100;39194.6199223;57949.793893;2.18889474869;2.18889474869;26474.453125;0.8112828135;0.8112828135;17906.1230469
;IN;1974;p45p100;39580.3023929;58520.0308214;2.18423891068;2.18423891068;26791.9550781;0.80463624;0.80463624;18120.8671875
;IN;1974;p46p100;39976.330514;59105.563939;2.18088531494;2.18088531494;27101.6367188;0.7979110479;0.7979110479;18330.3222656
;IN;1974;p47p100;40383.3750816;59707.3850267;2.18296432495;2.18296432495;27351.515625;0.7911089063;0.7911089063;18499.328125
;IN;1974;p48p100;40802.8469406;60327.5800387;2.18218588829;2.18218588829;27645.4824219;0.7842447162;0.7842447162;18698.1542969
;IN;1974;p49p100;41234.8636939;60966.3228525;2.18408751488;2.18408751488;27913.8652344;0.7773069143;0.7773069143;18879.6757812
;IN;1974;p50p100;41680.5102274;61625.217487;2.18466234207;2.18466234207;28208.1191406;0.77030164;0.77030164;19078.6972656
;IN;1974;p51p100;42140.2063531;62304.88464;2.18312454224;2.18312454224;28539.3183594;0.7632213831;0.7632213831;19302.703125
;IN;1974;p52p100;42614.3060807;63005.84772;2.18250131607;2.18250131607;28868.640625;0.7560568452;0.7560568452;19525.4433594
;IN;1974;p53p100;43103.7528063;63729.5015512;2.17662525177;2.17662525177;29279.0410156;0.7488084435;0.7488084435;19803.0195312
;IN;1974;p54p100;43608.3379831;64475.5377943;2.18124985695;2.18124961853;29558.9902344;0.7414556146;0.7414556146;19992.3632812
;IN;1974;p55p100;44131.0310265;65248.3467715;2.18213629723;2.18213653564;29901.1308594;0.734030962;0.734030962;20223.7734375
;IN;1974;p56p100;44672.1026784;66048.3287785;2.17901444435;2.17901444435;30311.1015625;0.7265188098;0.7265188098;20501.0585938
;IN;1974;p57p100;45231.2600854;66875.0508274;2.17239499092;2.17239499092;30784.0195312;0.718894124;0.718894124;20820.9179688
;IN;1974;p58p100;45808.9964741;67729.2421607;2.16382074356;2.16382050514;31300.765625;0.7111445069;0.7111445069;21170.421875
;IN;1974;p59p100;46406.1127776;68612.0869692;2.15173268318;2.15173268318;31886.9003906;0.7032614946;0.7032614946;21566.8574219
;IN;1974;p60p100;47022.8973977;69524.0116589;2.13819670677;2.13819670677;32515.2539062;0.6952278614;0.6952278614;21991.8476562
;IN;1974;p61p100;47660.147956;70466.1955247;2.12374806404;2.12374806404;33180.109375;0.6870332956;0.6870332956;22441.5273438
;IN;1974;p62p100;48318.8139329;71440.0423863;2.10861206055;2.10861182213;33880.1289062;0.6786684394;0.6786684394;22914.9863281
;IN;1974;p63p100;49000.0084718;72447.198042;2.09601521492;2.09601521492;34564.2539062;0.6701247692;0.6701247692;23377.6972656
;IN;1974;p64p100;49705.9180313;73490.8952015;2.08328723907;2.08328723907;35276.4101562;0.6614063978;0.6614063978;23859.3671875
;IN;1974;p65p100;50438.1404076;74573.4962287;2.06715679169;2.06715679169;36075.3945312;0.6525065899;0.6525065899;24399.765625
;IN;1974;p66p100;51197.2851351;75695.902329;2.05398917198;2.05398917198;36853.1171875;0.6434038281;0.6434038281;24925.78125
;IN;1974;p67p100;51986.2590425;76862.4112889;2.03933119774;2.03933095932;37690.0117188;0.6341037154;0.6341037154;25491.8183594
;IN;1974;p68p100;52806.6390988;78075.3546793;2.02490115166;2.02490091324;38557.6171875;0.6245918274;0.6245918274;26078.6269531
;IN;1974;p69p100;53660.8195752;79338.2724637;2.01205229759;2.01205229759;39431.515625;0.6148607731;0.6148607731;26669.6933594
;IN;1974;p70p100;54552.0837585;80656.0190277;1.99897813797;1.99897813797;40348.625;0.6049094796;0.6049094796;27289.984375
;IN;1974;p71p100;55483.2781017;82032.8028916;1.99015438557;1.99015438557;41219.3164062;0.5947273374;0.5947273374;27878.8808594
;IN;1974;p72p100;56459.8614777;83476.6950755;1.97659420967;1.97659409046;42232.59375;0.5843265653;0.5843265653;28564.2148438
;IN;1974;p73p100;57483.3055378;84989.8714365;1.95896410942;1.95896410942;43385.109375;0.5736715198;0.5736715198;29343.7265625
;IN;1974;p74p100;58555.3827681;86574.9526201;1.95363199711;1.9536318779;44314.875;0.5627272725;0.5627272725;29972.5761719
;IN;1974;p75p100;59688.024716;88249.5795859;1.9465341568;1.9465341568;45336.7734375;0.5515501499;0.5515501499;30663.7441406
;IN;1974;p76p100;60886.1748034;90021.0612524;1.93891370296;1.93891370296;46428.6054688;0.5401168466;0.5401168466;31402.2089844
;IN;1974;p77p100;62156.3162673;91898.9831762;1.93307590485;1.93307602406;47540.2851562;0.5284098387;0.5284098387;32154.0996094
;IN;1974;p78p100;63507.5990903;93896.8737345;1.93353223801;1.9335321188;48562.3554688;0.5164237022;0.5164237022;32845.3789062
;IN;1974;p79p100;64954.4330773;96036.0380258;1.91456604004;1.91456604004;50160.734375;0.5041803122;0.5041803122;33926.453125
;IN;1974;p80p100;66491.3443416;98308.3828316;1.92323195934;1.92323195934;51116.2382812;0.4915332496;0.4915332496;34572.7109375
;IN;1974;p81p100;68155.2803129;100768.535444;1.92400169373;1.92400169373;52374.453125;0.4786421061;0.4786421061;35423.7109375
;IN;1974;p82p100;69955.3621905;103429.981683;1.90653979778;1.90653967857;54250.1054688;0.4654267132;0.4654267132;36692.3164062
;IN;1974;p83p100;71890.0894686;106290.503031;1.9127291441;1.91272902489;55570.078125;0.451726675;0.451726675;37585.0859375
;IN;1974;p84p100;74007.6975585;109421.416217;1.91068315506;1.91068303585;57268.21875;0.4376779497;0.4376779497;38733.6328125
;IN;1974;p85p100;76326.8091888;112850.255208;1.88528394699;1.88528394699;59858.4921875;0.4231809974;0.4231809974;40485.578125
;IN;1974;p86p100;78846.1424485;116575.124678;1.87990176678;1.87990176678;62011.2851562;0.4080057442;0.4080057442;41941.6289062
;IN;1974;p87p100;81634.093964;120697.149997;1.86832594872;1.86832594872;64601.7617188;0.3922588229;0.3922588229;43693.7109375
;IN;1974;p88p100;84731.9766428;125277.412878;1.85586190224;1.85586178303;67503.6328125;0.3758256137;0.3758256137;45656.4023438
;IN;1974;p89p100;88204.1891868;130411.127701;1.82841575146;1.82841563225;71324.6640625;0.3586242795;0.3586242795;48240.7734375
;IN;1974;p91p100;96530.9818475;142722.407142;1.78208637238;1.78208637238;80087.2578125;0.3211197555;0.3211197555;54167.3984375
;IN;1974;p92p100;101669.633782;150319.975919;1.77692496777;1.77692484856;84595.5703125;0.3006346524;0.3006346524;57216.6171875
;IN;1974;p93p100;107814.858332;159405.776388;1.78055655956;1.78055655956;89525.8125;0.2789551914;0.2789551914;60551.2109375
;IN;1974;p94p100;115424.225051;170656.331538;1.78940546513;1.78940546513;95370.40625;0.255979985;0.255979985;64504.2304688
;IN;1974;p95p100;125225.297515;185147.354295;1.80280029774;1.80280029774;102699.867188;0.2314301133;0.2314301133;69461.546875
;IN;1974;p96p100;138569.392792;204876.785847;1.83747732639;1.83747720718;111498.953125;0.2048731744;0.2048731744;75412.84375
;IN;1974;p97p100;158490.750043;234330.791245;1.88425004482;1.88425016403;124362.890625;0.1757449955;0.1757449955;84113.4375
;IN;1974;p98p100;192909.679785;285219.660393;1.93985390663;1.93985390663;147031.515625;0.1426073164;0.1426073164;99445.46875
;IN;1974;p0p90;19827.5465278;29315.3049313;;;-7.0000368349e-12;0.6595827341;0.6595827341;-4.73450835828e-12
;IN;1974;p0p99;24558.5521025;36310.1628608;;;-7.0000368349e-12;0.8986606896;0.8986606896;-4.73450835828e-12
;IN;1974;p99.1p100;288723.534385;426881.784868;1.98840856552;1.98840844631;214685.15625;0.0960467085;0.0960467085;145203.328125
;IN;1974;p99.1p99.2;147525.421585;218118.399714;;;214685.15625;0.0054528639;0.0054528639;145203.328125
;IN;1974;p99.2p100;306373.298485;452977.208012;2.04244971275;2.04244971275;221781.328125;0.0905938447;0.0905938447;150002.859375
